ImageID,ans,m_out_0,m_out_1,m_out_2,g_out,a_out_0,a_out_1,a_out_2
cbc5c6e168e63498590db46022617123f1fe1268.jpg,0,3.1661185e-10,8.7280974e-08,0.9999999,5.878524e-06,1.7775809e-10,0.9999926,7.357449e-06
0e72482bf56b3581c081f7da2a6180b8792c7089.jpg,0,0.9999982,9.936762e-07,7.9259115e-07,3.429912e-06,6.437096e-07,0.9648484,0.03515092
b549040c49190cedc41327748aeb197c1670f14d.jpg,0,5.506865e-11,1.3704236e-07,0.9999999,1.4591991e-05,9.8060774e-08,0.99994254,5.74079e-05
4f9cb2a045c6d5b9e50ad3459ea7b791eb6e18bc.jpg,0,1.3259382e-10,1.6163636e-07,0.9999999,7.896774e-06,1.1937668e-05,0.93577373,0.06421435
248428d9a4a5b6229a7081c32851b90cb8d38d0c.jpg,0,3.373321e-08,4.0471576e-05,0.99995947,2.2405874e-11,1.0,2.2844121e-08,2.1472848e-11
7953c2e6e983bad91b89a0e4ad7eb69e6e43e56b.jpg,0,0.9999999,1.0508955e-07,4.017845e-10,5.821595e-14,1.0,3.746569e-08,7.329891e-11
1903db7dcc1262d0441677afa422e6a8371e5b37.jpg,0,9.249538e-09,0.9999993,6.609496e-07,6.378309e-08,4.487368e-09,0.99969554,0.00030450497
441419a874f4d031cd576850b68539ca7d35bedf.jpg,0,0.9999696,2.930695e-05,1.1156028e-06,1.0,0.99929476,0.0007051599,6.0579794e-08
388856cd1ef99b1918273a827a75f2aff2478321.jpg,0,1.0,3.41822e-08,2.7390364e-08,1.0,1.6038845e-09,1.0,9.152007e-09
795ba8ccc769a3f9da6a897f75df6706b729345b.jpg,0,0.99999976,1.4553162e-07,1.6414761e-07,1.0,1.0,1.257782e-10,7.706093e-15
9028e8c54f80096bf4e43390caf003f64c90e5ce.jpg,0,1.0153313e-11,1.358549e-08,1.0,7.6801445e-09,6.216491e-10,0.9999975,2.4566066e-06
78900cfc8a2bb5cb69c60bdef92b173a8a48c8ec.jpg,0,0.9999975,1.0240191e-06,1.4791734e-06,1.0,1.0,3.3669958e-09,3.0835018e-08
cba23bf8b02a8ddc470db8799fef62220819737e.jpg,0,3.0755585e-13,1.0,5.879656e-10,3.0228073e-15,1.0,5.8706e-11,1.973121e-12
d3921eae9f9a45d89f0bd1ea0e71354178481245.jpg,0,0.9999993,6.177406e-07,1.13065866e-07,1.0,1.0,3.6903522e-10,9.400526e-13
4d796a1ccf67a49c465e2b6b79a2caf8228adbca.jpg,0,1.0,2.0398048e-08,2.5311166e-09,4.4327812e-11,1.0,8.982392e-16,5.834083e-16
69ad31adcc3e6e8de7af886e970233fa61699045.jpg,0,0.99999976,2.8293277e-07,3.9679648e-08,0.99999714,5.425014e-07,0.9999994,8.1605014e-11
b1b1aa65544324d9ebc89b3deb4a714f4d1d7ea3.jpg,0,0.9999999,1.7281288e-07,7.744617e-09,4.325017e-08,1.13412455e-07,0.99999964,2.7688486e-07
6aa8e1282c5303e18101e3dede784dd1f5c076a0.jpg,0,0.9999995,4.976451e-07,2.4962887e-09,1.7487112e-09,1.421246e-09,0.9998827,0.00011733729
7665a0a126eec039d2c8baf9c6eedc004738c128.jpg,0,1.383202e-09,1.0,2.1651038e-08,1.0553096e-09,6.9141635e-09,1.0,1.8229941e-09
91598d7dad0122459e004ecd8a4e745acbd63101.jpg,0,1.0,4.998559e-08,3.335466e-08,0.90007335,1.4214478e-05,0.9866259,0.013359873
d352bb22eca23e75e710b427ae831a867dd37bfb.jpg,0,1.2081483e-10,5.3745384e-07,0.9999994,4.765039e-08,1.0,7.864139e-15,1.0055779e-14
0401671e6a939afe97d6c30bc820fbfe9519286a.jpg,0,1.0,9.652702e-09,9.810691e-10,1.2464677e-12,9.618948e-11,1.0,7.520252e-10
6ed93c0c3aa7ca9f0bb7e6b53a99aaa0a3609d50.jpg,0,0.99986637,0.00013354907,6.436223e-08,0.0028418002,0.0004052063,0.99881965,0.0007751688
50dda278ed4e5c43ab5a99592808f11027afa240.jpg,0,1.7455227e-08,7.88027e-06,0.99999213,7.12813e-07,0.9999999,8.314616e-08,1.6172294e-08
5ca8adbab5a39b3c7e725782f98d199202c589dc.jpg,0,1.0,1.2476523e-08,7.384711e-09,0.0011187706,0.016272128,0.17987351,0.8038543
a945a8c50f05708c42839692219bd1963672154a.jpg,0,1.0,5.4199994e-08,5.1071647e-10,4.6334332e-08,0.9999839,1.606901e-05,8.844979e-09
359acb7465396d70b6957be3a4cd503a7aa8b5de.jpg,0,1.8379096e-12,5.8241003e-08,1.0,1.0,4.7916552e-14,1.0,2.586701e-13
b188cd918519b3dc486ec7a0b04d268f6f262021.jpg,0,0.99999976,2.9631593e-07,3.869997e-08,1.5387654e-08,8.843918e-09,0.9761994,0.023800619
0abc5c0454095bf4519bd5c1fcbc0924fbce65d2.jpg,0,1.0,8.808637e-09,9.409976e-10,2.2584526e-08,4.524305e-09,0.9999871,1.2817324e-05
14e53aafa9cc2e32f1dc10b83c5183488e0cb080.jpg,0,0.9999987,1.1458765e-06,1.1563321e-07,4.0408096e-07,0.99999523,4.724113e-06,2.5249518e-09
27aaee870ff9b03c23d6b9f163aba027a06032c6.jpg,0,1.0,5.1579624e-10,7.497434e-11,3.4895672e-07,0.9999987,1.326244e-06,1.0531134e-11
fa025619390a5097dafb1fe3601dc6dec4644bce.jpg,0,0.999998,1.4477064e-06,6.1854274e-07,0.9996642,1.6736565e-05,0.9999825,7.597669e-07
c9ba7099501f4088602606671dd71fd76a2adee5.jpg,0,0.99999607,3.829291e-06,6.739523e-08,1.0,1.0,1.3476968e-15,3.8373653e-18
4702037fc73744daef1a4a6253895886f86808b8.jpg,0,0.99999905,9.483965e-07,4.3189296e-08,1.0,3.0002354e-06,0.9999771,1.987464e-05
e7d4a815cbf2dd60aaf5f764be67f656cf7e5b19.jpg,0,0.9999988,1.231396e-06,1.6653106e-09,0.5396476,0.006638303,0.75522935,0.23813236
c9649b4efc18ea0e1d6e16bd23cb8ccddfaf0d0b.jpg,0,1.0,3.4864212e-09,3.4256786e-09,0.00059173716,1.0,3.008071e-08,1.3596526e-09
0906805463eda250aedc1c43e4db25075c1244be.jpg,0,1.0,1.39027e-08,6.9003366e-11,1.0,1.0,1.6813757e-13,6.7799583e-15
acfb5e9c18ede13e4cdc7da0a15db777a490d782.jpg,0,1.0892161e-12,0.9999999,6.9991515e-08,5.238195e-07,3.3109055e-07,0.9999082,9.143901e-05
d67f11372df1ff081aa8437da1acf73419a85782.jpg,0,2.1079949e-11,2.3497408e-08,1.0,3.611129e-06,1.0518893e-06,0.1106675,0.8893314
53599d652f6253baa02940b895620f147a2327f7.jpg,0,0.0056846472,0.99430424,1.1051607e-05,1.081229e-11,1.0,1.0010856e-08,1.2743273e-11
c4b59a685cbb0bf9a275f6f757e509eb47e3b97b.jpg,0,1.0,5.8727807e-08,5.1291543e-08,1.3860317e-07,1.2371282e-07,0.9991842,0.0008157144
0da2dac9da3f797adfbdeaed999d54935a0a1020.jpg,0,0.99999917,8.1790125e-07,4.3225046e-09,9.737689e-13,2.922591e-08,0.9999993,6.9724155e-07
69a10709d7deff24b620309cab49766fe5054f2c.jpg,0,9.606274e-08,0.9999999,3.6153693e-08,4.7000208e-12,3.0966243e-10,1.0,2.6858642e-08
4d72365135eb4bee184687ebc0493304b70da612.jpg,0,0.9999974,2.6017055e-06,3.8032694e-10,0.9999987,1.0,1.4581971e-08,6.872789e-12
c6103af816b1b84dda25210c3f297e69a498735d.jpg,0,0.9999999,1.7565871e-07,1.0071927e-09,1.0,1.096044e-07,0.9999999,5.6725514e-12
a045a778e75e40e50e3a0d3baa372c527b095bcf.jpg,0,0.99999404,2.3762507e-06,3.6257031e-06,1.9770296e-06,2.086884e-08,0.99091715,0.009082847
26402638752e33697f3f2b12028853f8f39d7abb.jpg,0,0.99999976,1.518556e-07,1.1338208e-07,0.9999783,4.7995945e-07,0.99426794,0.005731584
d22e1488b1e853a1882ba4d5ed0357e872b4dbd2.jpg,0,1.0,6.9438597e-09,1.3776517e-09,3.288002e-09,5.0227578e-09,0.9999815,1.8465118e-05
954ba125374aa55139e313e3f8d5428ad16d1218.jpg,0,0.9999994,5.89662e-07,1.2382516e-08,2.8111689e-14,1.0,7.8281287e-16,1.0807011e-15
999d9b0ea9f6e9be5bfe05f9bc1970ae1cb94ae2.jpg,0,1.0,1.1682243e-08,8.722086e-09,1.1560474e-10,4.624011e-09,0.9999999,6.1780135e-08
